,CT8CTLM1,CT8CTLM2,CT12CTLM1,CT12CTLM2,CT16CTLM1,CT16CTLM2,CT20CTLM1,CT20CTLM2,CT24CTLM1,CT24CTLM2,CT28CTLM1,CT28CTLM2,CT32CTLM1,CT32CTLM2,CT36CTLM1,CT36CTLM2,CT40CTLM1,CT40CTLM2,CT44CTLM1,CT44CTLM2,CT8fastingM1,CT8fastingM2,CT12fastingM1,CT12fastingM2,CT16fastingM1,CT16fastingM2,CT20fastingM1,CT20fastingM2,CT24fastingM1,CT24fastingM2,CT28fastingM1,CT28fastingM2,CT32fastingM1,CT32fastingM2,CT36fastingM1,CT36fastingM2,CT40fastingM1,CT40fastingM2,CT44fastingM1,CT44fastingM2
Gnai3,5827,5577,5317,5482,6194,5793,6340,5566,5559,6320,5951,5688,5373,5816,5183,5728,4737,5037,5153,5773,6147,5362,5172,5730,5297,4708,4882,4456,4529,5568,5218,4585,5009,4562,5341,4500,4799,4162,5120,4508
Cdc45,107,56,95,92,94,58,122,85,51,45,84,37,89,61,90,139,46,58,89,70,38,61,75,101,110,93,128,116,66,52,38,93,55,89,113,88,133,59,73,103
Apoh,84215,84189,83507,79613,79603,77605,87160,82080,82659,84186,88503,90002,83385,86265,73837,76563,75266,75172,85697,85813,81803,87398,86342,86865,94854,85743,99301,90317,91729,94035,103753,97667,104701,110243,103239,106171,119194,107723,110868,121168
Narf,4805,5269,4365,4600,2995,2802,2314,2198,2132,2336,3469,3330,5474,5565,4749,4278,2989,2591,2251,2153,5203,5484,4988,4160,2432,2836,1954,2072,2162,2104,2435,2573,3676,3709,3290,3873,2286,2182,1523,1382
Cav2,272,303,258,281,250,255,242,249,239,277,272,289,260,341,388,274,312,277,268,258,350,307,311,199,255,253,336,224,208,233,239,240,287,192,245,201,249,227,291,256
Klf6,518,590,318,352,444,433,529,508,480,424,403,423,426,431,388,449,457,370,386,418,485,347,291,444,640,389,523,474,391,452,630,484,357,383,388,392,704,629,1207,1241
Scmh1,678,642,566,605,527,598,518,597,648,614,697,676,697,607,607,536,650,565,591,610,651,667,702,595,618,606,592,607,749,693,627,742,707,615,550,585,581,688,702,631
Cox5a,6936,6788,8149,7266,7749,7763,7739,6972,7517,7111,7284,7250,7360,7019,6656,7485,7117,7854,7464,7539,7020,7185,7614,7119,7399,7898,7652,7257,6566,6868,7019,6814,6977,7201,7243,7008,7917,6984,6575,7080
Tbx2,366,424,459,372,284,266,319,280,279,229,339,248,374,240,324,311,328,294,299,289,405,366,348,266,320,283,358,363,288,318,359,264,304,317,299,288,280,330,245,287
Ngfr,307,396,146,177,335,212,611,369,389,439,445,537,242,296,192,205,155,234,318,323,347,258,197,256,256,169,134,190,272,327,430,228,198,204,78,101,70,75,152,78
Fer,448,532,559,636,418,523,451,512,512,483,592,562,588,504,640,485,546,469,466,433,534,564,537,423,369,425,396,370,570,501,454,531,461,515,463,477,443,370,395,298
Xpo6,3311,2840,2860,2632,2497,2404,2713,2826,2969,3003,3117,3105,3152,3337,2586,2410,2663,2782,2949,2889,3179,3600,2848,2709,2667,3017,2949,3225,3710,3966,2917,3302,3397,3417,3408,3524,3281,3522,3467,3884
Tfe3,1984,1952,1574,1510,1967,1556,1961,1622,1940,2024,1763,1716,1778,1680,1568,1552,1680,1574,1793,1765,1673,1798,1519,1665,1847,1533,1945,2002,1831,2038,2045,1878,1624,1542,1789,1540,2244,1830,2095,2683
Axin2,606,389,411,364,379,684,277,797,854,746,567,838,498,564,523,434,399,712,772,759,483,734,440,406,277,287,580,545,361,519,834,561,739,560,458,473,415,1130,588,396
Brat1,666,901,751,742,714,784,731,801,1004,881,833,826,804,746,855,853,746,762,803,797,670,654,764,790,579,734,690,688,926,911,897,1002,757,797,708,845,695,826,719,800
Gna12,12267,9545,9535,8740,7066,9029,7241,7853,7393,8216,9604,9710,11837,11389,9581,7164,8958,8407,7921,8745,11207,13319,8446,8550,7460,11039,12234,12097,13287,13269,11115,12634,13635,12952,12061,12212,9713,8898,10483,9656
Slc22a18,5859,5699,5003,5093,5874,5074,5809,4940,4980,5333,5667,5314,5380,5238,5329,5383,5794,4998,5300,5478,5487,5185,5815,6162,5553,4902,4485,4440,3682,4672,5549,5572,5728,5928,5523,5621,6818,4653,6473,6814
Igsf5,1480,1412,1624,1391,1420,1489,1244,1384,1493,1318,1606,1483,1577,1657,1370,1501,1345,1528,1445,1485,1518,1870,1570,1493,1370,1653,2029,1575,1612,2096,1202,1552,1481,1368,1619,1224,1440,1289,1401,1274
Dlat,4011,3527,3757,3619,3105,3112,2857,3586,3385,3379,3390,3902,3831,3412,3020,3317,2911,3122,3089,3309,3760,3852,3570,3357,3589,3308,3049,3029,2758,2868,2864,2830,2910,2780,3428,3244,2718,3842,3363,3201
Sdhd,10897,10367,11399,11008,12118,10820,10801,10222,9613,10430,10230,10247,10321,10552,9977,11132,9035,10382,9759,10241,9858,10268,10821,11223,11041,9666,10092,9724,10440,10542,13708,10524,11903,11671,13502,13154,11487,14247,10876,10566
Ccnd2,820,960,782,705,778,784,698,886,1136,1058,726,846,776,766,822,714,962,737,823,876,852,774,610,628,552,610,589,541,425,621,455,549,408,365,449,513,606,543,578,540
Gpr107,1481,1629,1413,1331,1162,1384,1387,1410,1491,1490,1507,1409,1630,1375,1425,1570,1374,1220,1266,1340,1502,1441,1469,1495,1764,1535,1863,1819,1639,1435,1636,1631,1534,1379,1442,1427,1778,1821,1623,1839
Tspan32,25,32,18,11,33,16,48,39,8,6,27,20,19,23,41,26,34,17,21,32,27,18,25,13,30,18,12,8,42,27,16,11,27,12,16,7,2,18,24,26
Lhx2,147,148,162,127,135,196,257,247,225,180,219,290,166,179,115,155,169,188,195,216,148,149,170,130,168,175,233,177,136,210,260,251,191,207,119,173,201,262,227,125
Mid2,587,575,498,600,357,649,468,493,545,573,598,661,606,633,614,478,563,571,576,493,514,569,538,468,344,545,436,451,637,535,493,561,578,544,472,456,427,509,523,528
Trim25,6686,8251,6123,4996,6180,6825,6244,6165,7217,7431,6619,6890,6568,6318,6936,5361,6195,6234,6494,6862,6443,7859,6067,6206,8123,6891,10587,10767,8027,8633,8309,7854,8214,6474,7728,5769,8622,7689,9664,10370
Dgke,177,191,196,175,221,263,218,300,163,206,263,298,224,252,182,173,195,214,130,178,168,220,217,256,221,178,161,214,212,195,278,140,153,285,226,236,156,413,193,181
